id_championship;temporada;campeao
1;1976;Peter Townend
2;1977;Shaun Tomson
3;1978;Wayne Bartholomew
4;1979;Mark Richards
5;1980;Mark Richards
6;1981;Mark Richards
7;1982;Mark Richards
8;1983;Tom Carroll
9;1984;Tom Carroll
10;1985;Tom Curren
11;1986;Tom Curren
12;1987;Damien Hardman
13;1988;Barton Lynch
14;1989;Martin Potter
15;1990;Tom Curren
16;1991;Damien Hardman
17;1992;Kelly Slater
18;1993;Derek Ho
19;1994;Kelly Slater
20;1995;Kelly Slater
21;1996;Kelly Slater
22;1997;Kelly Slater
23;1998;Kelly Slater
24;1999;Mark Occhilupo
25;2000;Sunny Garcia
26;2001;C.J. Hobgood
27;2002;Andy Irons
28;2003;Andy Irons
29;2004;Andy Irons
30;2005;Kelly Slater
31;2006;Kelly Slater
32;2007;Mick Fanning
33;2008;Kelly Slater
34;2009;Mick Fanning
35;2010;Kelly Slater
36;2011;Kelly Slater
37;2012;Joel Parkinson
38;2013;Mick Fanning
39;2014;Gabriel Medina
40;2015;Adriano de Souza
41;2016;John John Florence
42;2017;John John Florence
43;2018;Gabriel Medina
44;2019;Italo Ferreira
45;2020;Cancelado devido a pandemia de COVID-19[8]
46;2021;Gabriel Medina
47;2022;Filipe Toledo
48;2023;Filipe Toledo
49;2024;John John Florence
