id_surfer;surfer;stance;nacionalidade;localidade
1;Adrian Buchan;Goofy;Australia;Avoca Beach
2;Adriano de Souza;Regular;Brazil;São Paulo
3;Andy Irons;Regular;Hawaii;Hanalei
4;Barron Mamiya;Regular;Hawaii;Haleiwa
5;Barton Lynch;Goofy;Australia;Manly Beach
6;Bede Durbidge;Regular;Australia;North Stradbroke Island
7;Caio Ibelli;Regular;Brazil;Guaruja
8;Callum Robson;Regular;Australia;Evans Head
9;Cole Houshmand;Goofy;United States;San Clemente
10;Conner Coffin;Regular;United States;Santa Barbara
11;Connor OLeary;Goofy;Japan;Cronulla
12;C.J. Hobgood;Goofy;United States;Melbourne
13;Damien Hardman;Goofy;Australia;Sydney
14;Dane Reynolds;Regular;United States;Ventura
15;Deivid Silva;Goofy;Brazil;Guaruja
16;Derek Ho;Goofy;Hawaii;Kailua
17;Ethan Ewing;Regular;Australia;North Stradbroke Island
18;Filipe Toledo;Regular;Brazil;Ubatuba
19;Frederico Morais;Regular;Portugal;Cascais
20;Gabriel Medina;Goofy;Brazil;Maresias
21;Griffin Colapinto;Regular;United States;San Clemente
22;Italo Ferreira;Goofy;Brazil;Baía Formosa
23;Jack Freestone;Regular;Australia;Tweed Heads
24;Jack Robinson;Regular;Australia;Margaret River
25;Jadson Andre;Goofy;Brazil;Natal
26;Jeremy Flores;Regular;France;Ilha da Reunião
27;Joan Duru;Goofy;France;Ondres
28;Joao Chianca;Regular;Brazil;Saquarema
29;Joel Parkinson;Regular;Australia;Tweed Heads
30;John John Florence;Regular;Hawaii;Haleiwa
31;Jordy Smith;Regular;South Africa;Durban
32;Josh Kerr;Regular;Australia;Tweed Heads
33;Julian Wilson;Regular;Australia;Coolum Beach
34;Kai Otton;Goofy;Australia;Tathra
35;Kanoa Igarashi;Regular;Japan;Huntington Beach
36;Kauli Vaast;Goofy;Tahiti;Vairao
37;Keanu Asing;Regular;Hawaii;Honolulu
38;Kelly Slater;Regular;United States;Cocoa Beach
39;Kieren Perrow;Regular;Australia;Byron Bay
40;Kolohe Andino;Regular;United States;San Clemente
41;Leonardo Fioravanti;Regular;Italia;Rome
42;Mark Occhilupo;Goofy;Australia;Sydney
43;Mark Richards;Regular;Australia;Newcastle
44;Martin Potter;Regular;United Kingdom;Blyth
45;Matt Wilkinson;Goofy;Australia;Sydney
46;Matthew McGillivray;Regular;South Africa;Jeffreys Bay
47;Michel Bourez;Regular;France;Rurutu
48;Mick Fanning;Regular;Australia;Penrith
49;Miguel Pupo;Goofy;Brazil;Itanhaém
50;Morgan Cibilic;Regular;Australia;Merewether
51;Nat Young;Goofy;United States;Santa Cruz
52;Owen Wright;Goofy;Australia;Culburra Beach
53;Peter Townend;Regular;Australia;Coolangatta
54;Rio Waida;Regular;Indonesia;Uluwatu
55;Ryan Callinan;Goofy;Australia;Newcastle
56;Samuel Pupo;Regular;Brazil;Maresias
57;Sebastian Zietz;Regular;Hawaii;Kilauea
58;Seth Moniz;Regular;Hawaii;Honolulu
59;Shaun Tomson;Regular;South Africa;Jeffreys Bay
60;Sunny Garcia;Regular;Hawaii;Sunset Beach
61;Taj Burrow;Regular;Australia;Busselton
62;Tom Carroll;Goofy;Australia;Newport
63;Tom Curren;Regular;United States;Santa Barbara
64;Wade Carmichael;Regular;Australia;Avoca Beach
65;Wayne Bartholomew;Regular;Australia;Coolangatta
66;Willian Cardoso;Regular;Brazil;Balneario Camboriu
67;Yago Dora;Goofy;Brazil;Florianópolis
